typed ident      	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
158	HD 38397               	HD 38397                 	Ro*	085.8992037 -39.9235339    	     ~	 8.72 	 8.140	     ~	 7.486	G0V            	  36	   0
159	HD 38273               	HD 38273                 	*  	086.10608706 -05.46475858  	     ~	 8.38 	 7.97 	     ~	     ~	F2V            	  11	   0
160	HD 59659               	HD 59659                 	PM*	112.1252525 -49.1496922    	     ~	 9.30 	 8.79 	     ~	     ~	F7V            	  11	   0
161	HD 83033               	HD 83033                 	*  	142.7494929 -74.1532425    	     ~	 8.58 	 8.20 	     ~	     ~	F3V            	  13	   0
162	HD 88463               	HD 88463                 	*  	152.8520888 -34.7910958    	     ~	 8.60 	 8.20 	     ~	     ~	F2IV           	   8	   0
163	HD 94131               	HD 94131                 	PM*	162.4249754 -71.6541556    	     ~	 7.91 	 7.54 	     ~	     ~	F0/2V          	  15	   0
164	HD 102458              	HD 102458                	Y*O	176.8522658 -49.8841717    	     ~	 9.70 	 9.07 	     ~	 8.40 	G4V            	  65	   0
165	HD 107649              	HD 107649                	*  	185.60356325 -51.02620801  	     ~	 9.26 	 8.78 	     ~	     ~	F5V            	  20	   0
166	HD 111347              	HD 111347                	PM*	192.0917533 +30.7671756    	     ~	 8.47 	 8.02 	     ~	     ~	F7V            	  26	   0
167	HD 111520              	HD 111520                	*  	192.58215550 -49.86359961  	     ~	 9.37 	 8.87 	     ~	     ~	F5/6V          	  24	   0
168	HD 115371              	HD 115371                	V* 	199.37063935 -42.93297433  	     ~	 8.72 	 8.29 	     ~	     ~	F3V            	  10	   0
169	HD 117620              	HD 117620                	*  	203.17702582 -55.82754967  	     ~	 8.52 	 8.11 	     ~	     ~	F2/3V          	  16	   0
170	HD 119152              	HD 119152                	*  	205.46990779 -18.98484568  	     ~	 7.89 	 7.56 	     ~	     ~	F0V            	  14	   0
171	HD 120178              	HD 120178                	*  	207.2883879 -54.2284175    	     ~	 9.40 	 8.89 	     ~	     ~	F5V            	  14	   0
172	HD 120362              	HD 120362                	*  	208.4323533 -78.4136975    	     ~	10.05 	 9.27 	     ~	     ~	G5V            	  18	   0
173	HD 121189              	HD 121189                	*  	208.79164817 -50.74526072  	     ~	 9.06 	 8.68 	     ~	     ~	F3V            	  17	   0
174	HD 133803              	HD 133803                	*  	226.81223602 -29.50448014  	     ~	 8.47 	 8.12 	     ~	     ~	A9V            	  30	   0
175	HD 137949              	* 33 Lib                 	a2*	232.39476389 -17.44094162  	 7.22 	 7.07 	 6.69 	     ~	     ~	F0VspEuGdSr    	 214	   0
176	HD 139731              	HD 139731                	*  	235.15759405 -25.59252113  	     ~	 8.34 	 7.96 	     ~	     ~	F0V            	  15	   0
